launch_id,company,product_family,product_name,date,canonical_url,notes
openai-chatgpt,OpenAI,ChatGPT,ChatGPT,2022-11-30,https://openai.com/index/chatgpt/,Initial ChatGPT launch (GPT-3.5)
openai-gpt-3-5-turbo-api,OpenAI,GPT,GPT-3.5 Turbo API,2023-03-01,https://openai.com/index/introducing-chatgpt-and-whisper-apis/,ChatGPT and Whisper APIs
openai-gpt-4,OpenAI,GPT,GPT-4,2023-03-14,https://openai.com/index/gpt-4-research/,
openai-dalle-3,OpenAI,DALL-E,DALL-E 3,2023-09-20,https://openai.com/index/dall-e-3/,
openai-gpt-4-turbo,OpenAI,GPT,GPT-4 Turbo,2023-11-06,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,DevDay
openai-sora,OpenAI,Sora,Sora,2024-02-15,https://openai.com/index/sora/,Video generation
openai-gpt-4o,OpenAI,GPT,GPT-4o,2024-05-13,https://openai.com/index/hello-gpt-4o/,Omni / multimodal
openai-gpt-4o-mini,OpenAI,GPT,GPT-4o mini,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,
openai-o1-preview,OpenAI,o-series,o1-preview,2024-09-12,https://openai.com/index/learning-to-reason-with-llms/,Reasoning model preview
openai-o1,OpenAI,o-series,o1,2024-12-05,https://openai.com/index/introducing-chatgpt-pro/,o1 + ChatGPT Pro
openai-sora-launch,OpenAI,Sora,Sora launch,2024-12-09,https://openai.com/index/sora-is-here/,Public launch
openai-o3-announcement,OpenAI,o-series,o3 + o3-mini announcement,2024-12-20,https://openai.com/index/openai-o3-mini/,12 days of OpenAI announcement
openai-o3-mini,OpenAI,o-series,o3-mini,2025-01-31,https://openai.com/index/openai-o3-mini/,
openai-gpt-4-5,OpenAI,GPT,GPT-4.5,2025-02-27,https://openai.com/index/introducing-gpt-4-5/,
openai-gpt-4-1,OpenAI,GPT,GPT-4.1,2025-04-14,https://openai.com/index/gpt-4-1/,
openai-o3-o4mini,OpenAI,o-series,o3 and o4-mini,2025-04-16,https://openai.com/index/introducing-o3-and-o4-mini/,
openai-gpt-5,OpenAI,GPT,GPT-5,2025-08-07,https://openai.com/index/introducing-gpt-5/,
openai-gpt-5-1,OpenAI,GPT,GPT-5.1,2025-11-12,https://openai.com/index/gpt-5-1/,
anthropic-claude-1,Anthropic,Claude,Claude,2023-03-14,https://www.anthropic.com/news/introducing-claude,
anthropic-claude-2,Anthropic,Claude,Claude 2,2023-07-11,https://www.anthropic.com/news/claude-2,
anthropic-claude-instant-1-2,Anthropic,Claude,Claude Instant 1.2,2023-08-09,https://www.anthropic.com/news/releasing-claude-instant-1-2,
anthropic-claude-2-1,Anthropic,Claude,Claude 2.1,2023-11-21,https://www.anthropic.com/news/claude-2-1,
anthropic-claude-3,Anthropic,Claude,Claude 3 family (Haiku/Sonnet/Opus),2024-03-04,https://www.anthropic.com/news/claude-3-family,
anthropic-claude-3-haiku,Anthropic,Claude,Claude 3 Haiku,2024-03-13,https://www.anthropic.com/news/claude-3-haiku,
anthropic-claude-3-5-sonnet,Anthropic,Claude,Claude 3.5 Sonnet,2024-06-20,https://www.anthropic.com/news/claude-3-5-sonnet,
anthropic-claude-3-5-sonnet-new,Anthropic,Claude,Claude 3.5 Sonnet (new) + Haiku + Computer Use,2024-10-22,https://www.anthropic.com/news/3-5-models-and-computer-use,
anthropic-claude-3-7-sonnet,Anthropic,Claude,Claude 3.7 Sonnet,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,Extended thinking
anthropic-claude-4,Anthropic,Claude,Claude Opus 4 and Sonnet 4,2025-05-22,https://www.anthropic.com/news/claude-4,
anthropic-claude-4-1-opus,Anthropic,Claude,Claude Opus 4.1,2025-08-05,https://www.anthropic.com/news/claude-opus-4-1,
anthropic-claude-4-5-sonnet,Anthropic,Claude,Claude Sonnet 4.5,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,
anthropic-claude-4-5-haiku,Anthropic,Claude,Claude Haiku 4.5,2025-10-01,https://www.anthropic.com/news/claude-haiku-4-5,
anthropic-claude-sonnet-4-6,Anthropic,Claude,Claude Sonnet 4.6,2026-01-15,https://www.anthropic.com/news/claude-sonnet-4-6,Approx date - verify
anthropic-claude-opus-4-7,Anthropic,Claude,Claude Opus 4.7,2026-03-15,https://www.anthropic.com/news/claude-opus-4-7,Approx date - verify
google-bard,Google,Bard/Gemini,Bard,2023-03-21,https://blog.google/technology/ai/try-bard/,
google-palm-2,Google,PaLM,PaLM 2,2023-05-10,https://blog.google/technology/ai/google-palm-2-ai-large-language-model/,Google I/O 2023
google-gemini-1,Google,Gemini,Gemini 1.0,2023-12-06,https://blog.google/technology/ai/google-gemini-ai/,
google-gemma,Google,Gemma,Gemma,2024-02-21,https://blog.google/technology/developers/gemma-open-models/,
google-gemini-1-5-pro,Google,Gemini,Gemini 1.5 Pro,2024-02-15,https://blog.google/technology/ai/google-gemini-next-generation-model-february-2024/,
google-gemini-1-5-flash,Google,Gemini,Gemini 1.5 Flash,2024-05-14,https://blog.google/technology/ai/google-gemini-update-flash-ai-assistant-io-2024/,Google I/O 2024
google-gemma-2,Google,Gemma,Gemma 2,2024-06-27,https://blog.google/technology/developers/google-gemma-2/,
google-gemini-2-flash,Google,Gemini,Gemini 2.0 Flash,2024-12-11,https://blog.google/technology/google-deepmind/google-gemini-ai-update-december-2024/,
google-gemini-2-flash-ga,Google,Gemini,Gemini 2.0 Flash GA + 2.0 Pro,2025-02-05,https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/,
google-gemini-2-5-pro,Google,Gemini,Gemini 2.5 Pro,2025-03-25,https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/,Thinking model
google-gemini-2-5-flash,Google,Gemini,Gemini 2.5 Flash,2025-04-09,https://blog.google/products/gemini/gemini-2-5-flash/,
google-gemini-3,Google,Gemini,Gemini 3,2026-01-15,https://blog.google/technology/google-deepmind/gemini-3/,Approx date - verify
meta-llama-1,Meta,Llama,LLaMA,2023-02-24,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,
meta-llama-2,Meta,Llama,Llama 2,2023-07-18,https://about.fb.com/news/2023/07/llama-2/,
meta-code-llama,Meta,Llama,Code Llama,2023-08-24,https://ai.meta.com/blog/code-llama-large-language-model-coding/,
meta-llama-3,Meta,Llama,Llama 3,2024-04-18,https://ai.meta.com/blog/meta-llama-3/,
meta-llama-3-1,Meta,Llama,Llama 3.1,2024-07-23,https://ai.meta.com/blog/meta-llama-3-1/,
meta-llama-3-2,Meta,Llama,Llama 3.2,2024-09-25,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,Vision + edge
meta-llama-3-3,Meta,Llama,Llama 3.3,2024-12-06,https://ai.meta.com/blog/future-of-ai-built-with-llama/,Llama 3.3 70B
meta-llama-4,Meta,Llama,Llama 4 (Scout + Maverick),2025-04-05,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,
mistral-mistral-7b,Mistral,Mistral,Mistral 7B,2023-09-27,https://mistral.ai/news/announcing-mistral-7b/,
mistral-mixtral-8x7b,Mistral,Mixtral,Mixtral 8x7B,2023-12-11,https://mistral.ai/news/mixtral-of-experts/,
mistral-large,Mistral,Mistral,Mistral Large,2024-02-26,https://mistral.ai/news/mistral-large/,
mistral-codestral,Mistral,Codestral,Codestral,2024-05-29,https://mistral.ai/news/codestral/,
mistral-nemo,Mistral,Mistral,Mistral NeMo,2024-07-18,https://mistral.ai/news/mistral-nemo/,
mistral-large-2,Mistral,Mistral,Mistral Large 2,2024-07-24,https://mistral.ai/news/mistral-large-2407/,
mistral-pixtral,Mistral,Pixtral,Pixtral 12B,2024-09-11,https://mistral.ai/news/pixtral-12b/,
mistral-small-3,Mistral,Mistral,Mistral Small 3,2025-01-30,https://mistral.ai/news/mistral-small-3/,
mistral-medium-3,Mistral,Mistral,Mistral Medium 3,2025-05-07,https://mistral.ai/news/mistral-medium-3/,
xai-grok-1,xAI,Grok,Grok-1,2023-11-04,https://x.ai/blog/grok,
xai-grok-1-5,xAI,Grok,Grok-1.5,2024-03-28,https://x.ai/blog/grok-1.5,
xai-grok-1-5v,xAI,Grok,Grok-1.5V,2024-04-12,https://x.ai/blog/grok-1.5v,Vision
xai-grok-2,xAI,Grok,Grok-2,2024-08-13,https://x.ai/blog/grok-2,
xai-grok-3,xAI,Grok,Grok-3,2025-02-17,https://x.ai/news/grok-3,
xai-grok-4,xAI,Grok,Grok-4,2025-07-09,https://x.ai/news/grok-4,
deepseek-v2,DeepSeek,DeepSeek,DeepSeek-V2,2024-05-06,https://api-docs.deepseek.com/news/news0506,
deepseek-v2-5,DeepSeek,DeepSeek,DeepSeek-V2.5,2024-09-05,https://api-docs.deepseek.com/news/news0905,
deepseek-v3,DeepSeek,DeepSeek,DeepSeek-V3,2024-12-26,https://api-docs.deepseek.com/news/news1226,
deepseek-r1,DeepSeek,DeepSeek,DeepSeek-R1,2025-01-20,https://api-docs.deepseek.com/news/news250120,
deepseek-v3-1,DeepSeek,DeepSeek,DeepSeek-V3.1,2025-08-21,https://api-docs.deepseek.com/news/news250821,
qwen-1,Alibaba,Qwen,Qwen-7B,2023-08-03,https://qwenlm.github.io/blog/qwen/,
qwen-1-5,Alibaba,Qwen,Qwen 1.5,2024-02-04,https://qwenlm.github.io/blog/qwen1.5/,
qwen-2,Alibaba,Qwen,Qwen2,2024-06-06,https://qwenlm.github.io/blog/qwen2/,
qwen-2-5,Alibaba,Qwen,Qwen2.5,2024-09-19,https://qwenlm.github.io/blog/qwen2.5/,
qwen-qwq-32b-preview,Alibaba,Qwen,QwQ-32B-Preview,2024-11-28,https://qwenlm.github.io/blog/qwq-32b-preview/,Reasoning
qwen-2-5-max,Alibaba,Qwen,Qwen2.5-Max,2025-01-28,https://qwenlm.github.io/blog/qwen2.5-max/,
qwen-3,Alibaba,Qwen,Qwen3,2025-04-29,https://qwenlm.github.io/blog/qwen3/,
microsoft-phi-2,Microsoft,Phi,Phi-2,2023-12-12,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/,
microsoft-phi-3,Microsoft,Phi,Phi-3,2024-04-23,https://azure.microsoft.com/en-us/blog/introducing-phi-3-redefining-whats-possible-with-slms/,
microsoft-phi-3-5,Microsoft,Phi,Phi-3.5,2024-08-20,https://techcommunity.microsoft.com/blog/azure-ai-services-blog/discover-the-new-multi-lingual-high-quality-phi-3-5-slms/4225280,
microsoft-phi-4,Microsoft,Phi,Phi-4,2024-12-12,https://www.microsoft.com/en-us/research/blog/phi-4-microsoft-introduces-an-improved-and-efficient-language-model/,
cohere-command-r,Cohere,Command,Command R,2024-03-11,https://cohere.com/blog/command-r,
cohere-command-r-plus,Cohere,Command,Command R+,2024-04-04,https://cohere.com/blog/command-r-plus-microsoft-azure,
cohere-command-a,Cohere,Command,Command A,2025-03-13,https://cohere.com/blog/command-a,
amazon-titan,Amazon,Titan,Titan,2023-04-13,https://www.aboutamazon.com/news/aws/aws-bedrock-amazon-titan-generative-ai,
amazon-nova,Amazon,Nova,Nova,2024-12-03,https://www.aboutamazon.com/news/aws/amazon-nova-artificial-intelligence-bedrock-aws,
